system,body,is star,type,temp,radius,absMagnitude,solMass,spectralClass,luminosity
Pyrie Euq ZE-R d4-0,Pyrie Euq ZE-R d4-0 C,Star,M,3254.0,376212672.0,8.658859,0.425781,M2,Va
Pyrie Euq ZE-R d4-0,Pyrie Euq ZE-R d4-0 D,Star,M,2023.0,279554144.0,11.368576,0.210938,M9,VI
Pyrie Euq ZE-R d4-0,Pyrie Euq ZE-R d4-0 E,Star,T,1295.0,151503872.0,14.636871,0.09375,T0,V
Pyrie Euq TI-K c8-1,Pyrie Euq TI-K c8-1 A,Star,K,5066.0,610472704.0,5.684525,0.789063,K0,Vab
Pyrie Euq TI-K c8-1,Pyrie Euq TI-K c8-1 B,Star,M,3394.0,435621344.0,8.15741,0.523438,M1,Va
Pyrie Euq QC-M c7-0,Pyrie Euq QC-M c7-0 A,Star,M,3348.0,417070784.0,8.311234,0.5,M2,Va
Pyrie Euq LL-P c5-1,Pyrie Euq LL-P c5-1 A,Star,K,4650.0,582498176.0,6.15863,0.683594,K3,Va
Pyrie Euq LL-P c5-1,Pyrie Euq LL-P c5-1 D,Star,M,2873.0,343950688.0,9.394562,0.34375,M4,Va
Pyrie Euq LL-P c5-1,Pyrie Euq LL-P c5-1 B,Star,L,1869.0,209044768.0,12.343842,0.167969,L1,V
Pyrie Euq LL-P c5-1,Pyrie Euq LL-P c5-1 C,Star,L,1833.0,228104800.0,12.238831,0.167969,L2,V
Pyra Dryiae LI-Z d1-2,Pyra Dryiae LI-Z d1-2,Star,F,7056.0,766370176.0,3.751236,1.195313,F2,VI
Pyrie Euq EZ-S c3-0,Pyrie Euq EZ-S c3-0 A,Star,K,5192.0,536079168.0,5.860092,0.738281,K0,Vab
Pyrie Euq EZ-S c3-0,Pyrie Euq EZ-S c3-0 B,Star,M,2238.0,267073840.0,11.029022,0.234375,M8,Va
Pyrie Euq LG-Y d4,Pyrie Euq LG-Y d4,Star,F,6659.0,710357440.0,4.167633,1.195313,F5,VI
Pyra Dryiae DW-C d4,Pyra Dryiae DW-C d4,Star,F,6569.0,858295552.0,3.815857,1.351563,F6,Vab
Cheae Euq FD-Z c27-1,Cheae Euq FD-Z c27-1,Star,K,3929.0,521518848.0,7.130676,0.6875,K8,Va
Cheae Euq BX-A c27-1,Cheae Euq BX-A c27-1,Star,K,4826.0,544632832.0,6.143234,0.789063,K2,Vab
Cheae Euq RP-E c25-0,Cheae Euq RP-E c25-0,Star,K,4991.0,647637632.0,5.620987,0.847656,K1,Va
Cheae Euq KD-I c23-0,Cheae Euq KD-I c23-0,Star,K,4912.0,527546752.0,6.135742,0.707031,K1,Vab
Cheae Euq EW-E d11-3,Cheae Euq EW-E d11-3,Star,K,5096.0,605612160.0,5.676239,0.929688,K0,Vab
Cheae Euq JX-J c22-0,Cheae Euq JX-J c22-0,Star,K,4544.0,594469056.0,6.21463,0.730469,K4,Va
Cheae Euq XJ-I d9-4,Cheae Euq XJ-I d9-4 A,Star,F,7154.0,790078464.0,3.625137,1.449219,F2,VI
Cheae Euq XJ-I d9-4,Cheae Euq XJ-I d9-4 B,Star,G,5974.0,748902016.0,4.524429,1.140625,G0,Vab
Cheae Euq WJ-I d9-2,Cheae Euq WJ-I d9-2 A,Star,F,6516.0,835733440.0,3.908905,1.203125,F6,Vb
Cheae Euq WJ-I d9-2,Cheae Euq WJ-I d9-2 C,Star,K,4518.0,561039744.0,6.365234,0.734375,K4,Va
Cheae Euq WJ-I d9-2,Cheae Euq WJ-I d9-2 B,Star,M,2941.0,430654720.0,8.804657,0.417969,M4,Va
Cheae Euq JM-U c16-0,Cheae Euq JM-U c16-0 A,Star,K,5116.0,558238016.0,5.836151,0.773438,K0,Vab
Cheae Euq JM-U c16-0,Cheae Euq JM-U c16-0 C,Star,K,4836.0,550724416.0,6.110077,0.65625,K2,Vab
Cheae Euq JM-U c16-0,Cheae Euq JM-U c16-0 B,Star,M,3455.0,420742656.0,8.155533,0.421875,M1,Va
Cheae Euq PX-L d7-4,Cheae Euq PX-L d7-4,Star,G,5363.0,727379904.0,5.056442,0.976563,G7,Va
Cheae Euq PX-L d7-4,Cheae Euq PX-L d7-4 3,Star,Y,380.0,39202528.0,22.535934,0.011719,Y4,V
Cheae Euq YT-Z c13-0,Cheae Euq YT-Z c13-0,Star,K,4166.0,520606176.0,6.880066,0.542969,K6,Va
Cheae Euq QH-D c12-1,Cheae Euq QH-D c12-1 A,Star,M,3543.0,485309024.0,7.736191,0.515625,M0,Va
Cheae Euq QH-D c12-1,Cheae Euq QH-D c12-1 B,Star,L,1329.0,188774912.0,14.04657,0.109375,L9,V
Cheae Euq MB-F c11-0,Cheae Euq MB-F c11-0 A,Star,K,4197.0,444047680.0,7.193344,0.523438,K6,Vab
Cheae Euq MB-F c11-0,Cheae Euq MB-F c11-0 B,Star,M,2561.0,349787584.0,9.857407,0.3125,M6,Va
Cheae Euq DF-R d4-1,Cheae Euq DF-R d4-1,Star,F,7139.0,893422912.0,3.367279,1.671875,F2,Vb
Cheae Euq AJ-K c8-0,Cheae Euq AJ-K c8-0 A,Star,M,3535.0,421612896.0,8.051636,0.492188,M0,Va
Cheae Euq AJ-K c8-0,Cheae Euq AJ-K c8-0 B,Star,M,3496.0,407519520.0,8.17363,0.425781,M1,Va
Cheae Euq UR-N c6-0,Cheae Euq UR-N c6-0,Star,K,4704.0,556964544.0,6.205841,0.710938,K3,Va
Cheae Euq QM-W d1-6,Cheae Euq QM-W d1-6 A,Star,F,7233.0,871709760.0,3.363876,1.570313,F1,VI
Cheae Euq QM-W d1-6,Cheae Euq QM-W d1-6 B,Star,K,3992.0,472213216.0,7.277298,0.59375,K8,Va
Cheae Euq RM-W d1-5,Cheae Euq RM-W d1-5,Star,F,7405.0,977346432.0,3.013351,1.722656,F0,Vb
Cheae Euq NG-Y d2,Cheae Euq NG-Y d2 A,Star,G,5869.0,721882624.0,4.681259,1.003906,G1,Vab
Cheae Euq NG-Y d2,Cheae Euq NG-Y d2 C,Star,L,1986.0,232328560.0,11.850723,0.203125,L0,V
Cheae Euq NG-Y d2,Cheae Euq NG-Y d2 B,Star,K,4883.0,557304128.0,6.042282,0.683594,K2,Va
Cheia Dryiae EW-C d3,Cheia Dryiae EW-C d3,Star,F,7357.0,955718144.0,3.09021,1.546875,F0,Vb
Pyrie Thua LJ-X c28-0,Pyrie Thua LJ-X c28-0,Star,K,5118.0,559469056.0,5.829651,0.78125,K0,Vab
Crucis Sector JC-M a7-2,Crucis Sector JC-M a7-2,Star,T,821.0,99969624.0,17.519608,0.042969,T,V
Crucis Sector OY-R b4-6,Crucis Sector OY-R b4-6 A,Star,M,3301.0,389499488.0,8.521225,0.375,M,Va
Crucis Sector OY-R b4-6,Crucis Sector OY-R b4-6 B,Star,L,1926.0,270066560.0,11.657028,0.203125,L,V
Stuemeae FG-Y d1971,Stuemeae FG-Y d1971 A,Star,A,7611.0,946273024.0,2.964325,1.410156,A,Vb
Stuemeae FG-Y d1971,Stuemeae FG-Y d1971 B,Star,G,5381.0,723771648.0,5.052704,0.949219,G,Va
Stuemeae IM-W d1-5220,Stuemeae IM-W d1-5220,Star,A,7723.0,924156544.0,2.952255,1.425781,A,Vb
Stuemeae NS-U d2-9013,Stuemeae NS-U d2-9013 A,Star,A,7613.0,895906176.0,3.081985,1.363281,A,Vb
Stuemeae NS-U d2-9013,Stuemeae NS-U d2-9013 B,Star,K,4089.0,526485504.0,6.936707,0.675781,K,Va
Stuemeae RY-S d3-10162,Stuemeae RY-S d3-10162,Star,A,7635.0,862476800.0,3.152054,1.398438,A,VI
Stuemeae RY-S d3-10162,Stuemeae RY-S d3-10162 3,Star,Y,441.0,55970260.0,22.045609,0.015625,Y,V
Stuemeae RY-S d3-10162,Stuemeae RY-S d3-10162 2,Star,Y,440.0,53104888.0,21.554321,0.015625,Y,V
Stuemeae QY-S d3-2422,Stuemeae QY-S d3-2422 A,Star,A,7556.0,902528384.0,3.098648,1.410156,A,Vb
Stuemeae QY-S d3-2422,Stuemeae QY-S d3-2422 B,Star,M,3090.0,353459488.0,9.019012,0.371094,M,Va
Stuemeae QY-S d3-2422,Stuemeae QY-S d3-2422 D,Star,K,4206.0,535081568.0,6.778976,0.582031,K,Va
Stuemeae QY-S d3-2422,Stuemeae QY-S d3-2422 C,Star,M,3316.0,415457632.0,8.361374,0.460938,M,Va
Phua Aub JF-R d4-7365,Phua Aub JF-R d4-7365,Star,A,7569.0,754123328.0,3.481354,1.34375,A,VI
Phua Aub NL-P d5-7369,Phua Aub NL-P d5-7369 A,Star,A,7639.0,881897728.0,3.101395,1.421875,A,VI
Phua Aub ML-P d5-4853,Phua Aub ML-P d5-4853,Star,A,7785.0,948268224.0,2.861572,1.433594,A,VI
Phua Aub PR-N d6-2409,Phua Aub PR-N d6-2409,Star,A,7706.0,776770432.0,3.339157,1.367188,A,VI
Phua Aub PR-N d6-3499,Phua Aub PR-N d6-3499,Star,A,7618.0,881048704.0,3.115448,1.433594,A,VI
Phua Aub PR-N d6-3499,Phua Aub PR-N d6-3499 1,Star,Y,501.0,60087900.0,21.278015,0.019531,Y,V
Phua Aub SX-L d7-8834,Phua Aub SX-L d7-8834 A,Star,A,7825.0,837664768.0,3.108673,1.4375,A,VI
Phua Aub SX-L d7-8834,Phua Aub SX-L d7-8834 B,Star,G,5292.0,634435712.0,5.411331,0.914063,G,Vab
Phua Aub SX-L d7-8834,Phua Aub SX-L d7-8834 C,Star,M,2308.0,261576576.0,10.940399,0.242188,M,Va
Phua Aub RX-L d7-8190,Phua Aub RX-L d7-8190,Star,A,8987.0,1094508160.0,1.926346,1.777344,A,Vz
Phua Aub UD-K d8-7892,Phua Aub UD-K d8-7892,Star,A,8830.0,1004726656.0,2.188797,1.765625,A,VI
Phua Aub VY-S e3-3899,Phua Aub VY-S e3-3899,Star,N,9084684.0,7851.5625,4.834274,2.144531,N,VII
Phua Aub TJ-G c24-3585,Phua Aub TJ-G c24-3585,Star,K,4245.0,472128352.0,7.010757,0.566406,K,Va
Phua Aub XQ-H b51-97,Phua Aub XQ-H b51-97,Star,M,2782.0,307252736.0,9.779434,0.296875,M,Va
Phua Aub DH-B c27-6758,Phua Aub DH-B c27-6758,Star,M,3606.0,436109536.0,7.8918,0.472656,M,Va
Phua Aub JY-X c28-4006,Phua Aub JY-X c28-4006,Star,K,4756.0,533956672.0,6.249695,0.664063,K,Vab
Phipoea TV-Y c214,Phipoea TV-Y c214,Star,K,4395.0,521900896.0,6.642227,0.640625,K,Va
Phipoea VG-X c1-2058,Phipoea VG-X c1-2058,Star,K,4011.0,475694144.0,7.240723,0.59375,K,Va
Phipoea KQ-Y d7658,Phipoea KQ-Y d7658 A,Star,N,4048606.0,11742.186523,4.814346,0.625,N,VII
Phipoea KQ-Y d7658,Phipoea KQ-Y d7658 B,Star,K,4063.0,472807488.0,7.197983,0.527344,K,Va
Phipoea LR-W e1-1051,Phipoea LR-W e1-1051 A,Star,N,4146427.0,8152.34375,4.87207,1.90625,N,VII
Phipoea LR-W e1-1051,Phipoea LR-W e1-1051 B,Star,F,6418.0,916770368.0,3.773727,1.394531,F,Vab
Phipoea RY-X c15-6072,Phipoea RY-X c15-6072,Star,G,5521.0,640951808.0,5.205093,0.875,G,Vab
Phipoea KC-L d8-7072,Phipoea KC-L d8-7072,Star,F,6427.0,853413760.0,3.923187,1.378906,F,Vab
Phipoea OI-J d9-1658,Phipoea OI-J d9-1658 A,Star,N,2734924.0,10664.0625,4.578781,0.835938,N,VII
Phipoea OI-J d9-1658,Phipoea OI-J d9-1658 B,Star,M,2777.0,287853088.0,9.928909,0.277344,M,Va
Phipoea WK-E d12-1374,Phipoea WK-E d12-1374,Star,F,6483.0,844096000.0,3.909332,1.324219,F,Vb
Phipoea WK-E d12-1627,Phipoea WK-E d12-1627,Star,N,6545701.0,10578.125,4.73288,0.863281,N,VII
Dryao Chrea US-B d7904,Dryao Chrea US-B d7904,Star,F,6019.0,784411392.0,4.391205,1.070313,F,Vb
Dryao Chrea CE-Y c2-2371,Dryao Chrea CE-Y c2-2371 A,Star,K,4365.0,539899712.0,6.598343,0.628906,K,Va
Dryao Chrea CE-Y c2-2371,Dryao Chrea CE-Y c2-2371 C,Star,L,1973.0,286706944.0,11.422409,0.210938,L,V
Dryao Chrea CE-Y c2-2371,Dryao Chrea CE-Y c2-2371 B,Star,K,4379.0,451540096.0,6.972595,0.589844,K,Vab
Dryao Chrea CE-Y c2-2371,Dryao Chrea CE-Y c2-2371 D,Star,K,3877.0,409387296.0,7.714371,0.460938,K,Va
Dryao Chrea MP-R b8-27,Dryao Chrea MP-R b8-27 A,Star,M,2141.0,279087200.0,11.125931,0.226563,M,VI
Dryao Chrea MP-R b8-27,Dryao Chrea MP-R b8-27 B,Star,L,1568.0,170776144.0,13.545822,0.125,L,V
Dryao Chrea RV-P b9-28,Dryao Chrea RV-P b9-28,Star,M,2604.0,356982848.0,9.740829,0.300781,M,Va
Dryao Chrea MG-T c5-1187,Dryao Chrea MG-T c5-1187 A,Star,K,4263.0,562122176.0,6.613434,0.640625,K,Va
Dryao Chrea MG-T c5-1187,Dryao Chrea MG-T c5-1187 B,Star,M,3598.0,473338112.0,7.723541,0.496094,M,Va
Dryao Chrea NV-F b15-40,Dryao Chrea NV-F b15-40 A,Star,M,2264.0,249011392.0,11.131012,0.222656,M,Va
Dryao Chrea NV-F b15-40,Dryao Chrea NV-F b15-40 B,Star,L,1910.0,209129664.0,12.248703,0.164063,L,V
Dryao Chrea NV-F b15-40,Dryao Chrea NV-F b15-40 C,Star,T,1148.0,155494160.0,15.103775,0.085938,T,V
Dryao Chrea WI-O c8-239,Dryao Chrea WI-O c8-239,Star,K,4667.0,554544896.0,6.249588,0.816406,K,Va
Dryao Chrea DA-L c10-756,Dryao Chrea DA-L c10-756,Star,K,3874.0,504093120.0,7.265747,0.578125,K,Va
Dryau Chrea CN-R d5-7151,Dryau Chrea CN-R d5-7151,Star,G,5617.0,645727424.0,5.11409,1.007813,G,Vab
Dryau Chrea KR-F c13-1715,Dryau Chrea KR-F c13-1715,Star,K,3989.0,467034336.0,7.304504,0.601563,K,Va
Dryau Chrea UY-B c15-885,Dryau Chrea UY-B c15-885 A,Star,K,4878.0,564372032.0,6.019363,0.804688,K,Va
Dryau Chrea UY-B c15-885,Dryau Chrea UY-B c15-885 B,Star,K,4397.0,478729280.0,6.827774,0.617188,K,Vab
Dryau Chrea UY-B c15-885,Dryau Chrea UY-B c15-885 C,Star,M,2466.0,270193920.0,10.582367,0.226563,M,Va
Dryau Chrea YE-A c16-2122,Dryau Chrea YE-A c16-2122 A,Star,K,4168.0,605484864.0,6.549957,0.707031,K,Va
Dryau Chrea YE-A c16-2122,Dryau Chrea YE-A c16-2122 B,Star,L,1603.0,194908928.0,13.162827,0.132813,L,V
Dryau Chrea GR-W c17-1927,Dryau Chrea GR-W c17-1927 A,Star,K,4422.0,607140416.0,6.287033,0.703125,K,Va
Dryau Chrea GR-W c17-1927,Dryau Chrea GR-W c17-1927 C,Star,M,3070.0,336649312.0,9.153061,0.355469,M,Va
Dryau Chrea GR-W c17-1927,Dryau Chrea GR-W c17-1927 B,Star,M,3254.0,358171424.0,8.76561,0.378906,M,Va
Dryau Chrea SL-K d9-2157,Dryau Chrea SL-K d9-2157 A,Star,F,6298.0,798462272.0,4.155807,1.09375,F,Vab
Dryau Chrea SL-K d9-2157,Dryau Chrea SL-K d9-2157 B,Star,M,3249.0,399496448.0,8.535141,0.460938,M,Va
Dryau Chrea YK-P c21-1071,Dryau Chrea YK-P c21-1071,Star,K,4093.0,546309632.0,6.852188,0.683594,K,Va
Dryau Chrea GX-L c23-2295,Dryau Chrea GX-L c23-2295 A,Star,K,4966.0,591858368.0,5.838409,0.699219,K,Vab
Dryau Chrea GX-L c23-2295,Dryau Chrea GX-L c23-2295 B,Star,M,2484.0,327076864.0,10.135803,0.269531,M,Va
Dryau Chrea GX-L c23-2295,Dryau Chrea GX-L c23-2295 C,Star,M,2181.0,241264288.0,11.361908,0.207031,M,Va
Dryau Chrea FO-Q b50-11,Dryau Chrea FO-Q b50-11 A,Star,K,3822.0,400239328.0,7.8255,0.445313,K,Va
Dryau Chrea FO-Q b50-11,Dryau Chrea FO-Q b50-11 B,Star,L,1461.0,182874368.0,13.704208,0.128906,L,V
Dryau Chrea KF-D d13-2694,Dryau Chrea KF-D d13-2694,Star,F,6852.0,860460480.0,3.627151,1.261719,F,Vb
Dryau Chrea CX-C c28-922,Dryau Chrea CX-C c28-922,Star,K,4738.0,601452096.0,6.007629,0.722656,K,Va
Eos Briae MU-D c694,Eos Briae MU-D c694,Star,K,4433.0,543847488.0,6.51535,0.707031,K,Va
Eos Briae SV-B c1-1212,Eos Briae SV-B c1-1212,Star,K,4967.0,599435712.0,5.809875,0.863281,K,Vab
Eos Briae AI-Y c2-435,Eos Briae AI-Y c2-435 A,Star,G,5678.0,608116736.0,5.19751,0.863281,G,Vab
Eos Briae AI-Y c2-435,Eos Briae AI-Y c2-435 D,Star,M,2923.0,324211488.0,9.447968,0.324219,M,Va
Eos Briae AI-Y c2-435,Eos Briae AI-Y c2-435 C,Star,M,2566.0,336118688.0,9.935501,0.328125,M,Va
Eos Briae AI-Y c2-435,Eos Briae AI-Y c2-435 B,Star,K,3769.0,536779584.0,7.248642,0.578125,K,Va
Eos Briae IU-U c4-1012,Eos Briae IU-U c4-1012 A,Star,K,4957.0,590245312.0,5.852219,0.707031,K,Vab
Eos Briae IU-U c4-1012,Eos Briae IU-U c4-1012 C,Star,M,2343.0,249011392.0,10.982025,0.222656,M,Va
Eos Briae IU-U c4-1012,Eos Briae IU-U c4-1012 B,Star,M,3092.0,430230240.0,8.58931,0.421875,M,Va
Eos Briae SB-R c6-2292,Eos Briae SB-R c6-2292,Star,K,4698.0,656658240.0,5.85376,0.839844,K,Va
Eos Briae AO-N c8-1670,Eos Briae AO-N c8-1670,Star,G,5309.0,663874752.0,5.298889,0.851563,G,Vab
Eos Briae IA-K c10-2341,Eos Briae IA-K c10-2341 A,Star,K,5070.0,641715840.0,5.572708,0.800781,K,Vab
Eos Briae IA-K c10-2341,Eos Briae IA-K c10-2341 B,Star,M,3560.0,387398240.0,8.204834,0.398438,M,Va
Eos Briae IA-K c10-2341,Eos Briae IA-K c10-2341 C,Star,L,1750.0,191512944.0,12.81987,0.144531,L,V
Eos Briae IA-K c10-2341,Eos Briae IA-K c10-2341 D,Star,M,2967.0,397140512.0,8.942413,0.398438,M,Va
Eos Briae SH-G c12-1996,Eos Briae SH-G c12-1996 A,Star,K,4401.0,483313888.0,6.803146,0.617188,K,Vab
Eos Briae SH-G c12-1996,Eos Briae SH-G c12-1996 C,Star,T,1133.0,128708240.0,15.571579,0.066406,T,V
Eos Briae SH-G c12-1996,Eos Briae SH-G c12-1996 B,Star,L,1621.0,190600272.0,13.162872,0.148438,L,V
Eos Briae WN-E c13-2381,Eos Briae WN-E c13-2381 A,Star,K,3998.0,573137984.0,6.850067,0.644531,K,Va
Eos Briae WN-E c13-2381,Eos Briae WN-E c13-2381 B,Star,K,3829.0,409833056.0,7.766098,0.488281,K,Va
Eos Briae QK-N d7-7903,Eos Briae QK-N d7-7903,Star,M,2755.0,368125952.0,9.429214,0.316406,M,Va
Eos Briae UQ-L d8-5540,Eos Briae UQ-L d8-5540 A,Star,F,6045.0,767983232.0,4.418457,1.171875,F,Vb
Eos Briae UQ-L d8-5540,Eos Briae UQ-L d8-5540 C,Star,M,2395.0,294729984.0,10.520477,0.28125,M,Va
Eos Briae UQ-L d8-5540,Eos Briae UQ-L d8-5540 B,Star,K,3980.0,465187744.0,7.322937,0.582031,K,Va
Eos Briae XT-T c18-1949,Eos Briae XT-T c18-1949,Star,K,3826.0,403189600.0,7.805008,0.484375,K,Va
Eos Briae EY-H d10-7525,Eos Briae EY-H d10-7525 A,Star,M,3166.0,369144736.0,8.819153,0.351563,M,Va
Eos Briae EY-H d10-7525,Eos Briae EY-H d10-7525 C,Star,T,987.0,109839248.0,16.515182,0.058594,T,V
Eos Briae EY-H d10-7525,Eos Briae EY-H d10-7525 B,Star,L,1670.0,187458976.0,13.069626,0.128906,L,V
Eos Briae PN-M c22-2514,Eos Briae PN-M c22-2514 A,Star,K,4118.0,491634080.0,7.054764,0.511719,K,Va
Eos Briae PN-M c22-2514,Eos Briae PN-M c22-2514 B,Star,M,2373.0,278705152.0,10.682007,0.222656,M,Va
Eos Briae PN-M c22-2514,Eos Briae PN-M c22-2514 D,Star,L,1919.0,241731232.0,11.913635,0.191406,L,V
Eos Briae PN-M c22-2514,Eos Briae PN-M c22-2514 C,Star,M,2500.0,271743360.0,10.510452,0.25,M,Va
Eos Briae ST-K c23-621,Eos Briae ST-K c23-621,Star,K,3725.0,421209632.0,7.826279,0.492188,K,Va
Eos Briae CB-H c25-915,Eos Briae CB-H c25-915,Star,K,4503.0,531070080.0,6.498932,0.753906,K,Va
Eos Briae QQ-C d13-1189,Eos Briae QQ-C d13-1189,Star,G,5431.0,730287680.0,4.993027,0.972656,G,Va
Eos Briae UU-Z c28-475,Eos Briae UU-Z c28-475 A,Star,G,5555.0,671961472.0,5.075821,0.894531,G,Vab
Eos Briae UU-Z c28-475,Eos Briae UU-Z c28-475 B,Star,M,3320.0,403868832.0,8.417572,0.398438,M,Va
Dryau Briae FS-A c1-1148,Dryau Briae FS-A c1-1148 A,Star,K,4071.0,424244800.0,7.42482,0.492188,K,Va
Dryau Briae FS-A c1-1148,Dryau Briae FS-A c1-1148 C,Star,L,1419.0,163856800.0,14.069412,0.09375,L,V
Dryau Briae FS-A c1-1148,Dryau Briae FS-A c1-1148 B,Star,L,1894.0,206625120.0,12.311417,0.148438,L,V
Dryau Briae JY-Y c1-926,Dryau Briae JY-Y c1-926,Star,K,4931.0,603298688.0,5.827545,0.71875,K,Vab
Dryau Briae TF-V c3-2542,Dryau Briae TF-V c3-2542 A,Star,K,4691.0,528692864.0,6.330994,0.648438,K,Vab
Dryau Briae TF-V c3-2542,Dryau Briae TF-V c3-2542 B,Star,M,2185.0,246719104.0,11.305374,0.210938,M,Va
Dryau Briae BS-R c5-2052,Dryau Briae BS-R c5-2052 A,Star,K,4878.0,655872896.0,5.693008,0.808594,K,Va
Dryau Briae BS-R c5-2052,Dryau Briae BS-R c5-2052 B,Star,K,3804.0,433244192.0,7.67392,0.507813,K,Va
Dryau Briae JE-O c7-1537,Dryau Briae JE-O c7-1537 A,Star,K,4768.0,576703808.0,6.071503,0.769531,K,Vab
Dryau Briae JE-O c7-1537,Dryau Briae JE-O c7-1537 B,Star,M,2631.0,331300608.0,9.858185,0.296875,M,Va
Dryau Briae RQ-K c9-1064,Dryau Briae RQ-K c9-1064 A,Star,K,3747.0,462195008.0,7.598999,0.457031,K,Va
Dryau Briae RQ-K c9-1064,Dryau Briae RQ-K c9-1064 B,Star,L,1896.0,240330384.0,11.978638,0.1875,L,V
Dryau Briae BY-G c11-1598,Dryau Briae BY-G c11-1598 A,Star,K,4513.0,520245376.0,6.534042,0.625,K,Va
Dryau Briae BY-G c11-1598,Dryau Briae BY-G c11-1598 B,Star,M,2303.0,282292160.0,10.784286,0.257813,M,Va
Dryau Briae JK-D c13-2634,Dryau Briae JK-D c13-2634,Star,G,5400.0,604232576.0,5.429504,0.792969,G,Vab
Dryau Briae PL-B c14-1317,Dryau Briae PL-B c14-1317,Star,K,4592.0,591497536.0,6.179871,0.761719,K,Va
Dryau Briae VG-U b32-55,Dryau Briae VG-U b32-55,Star,M,2561.0,301118720.0,10.182785,0.257813,M,Va
Dryau Briae EK-U c17-1447,Dryau Briae EK-U c17-1447,Star,K,4202.0,499338720.0,6.933258,0.59375,K,Va
Dryau Briae EI-J d9-7664,Dryau Briae EI-J d9-7664 A,Star,G,5353.0,663131840.0,5.265442,0.996094,G,Vab
Dryau Briae EI-J d9-7664,Dryau Briae EI-J d9-7664 B,Star,K,3903.0,527440608.0,7.13501,0.597656,K,Va
ICZ FB-X c1-17,ICZ FB-X c1-17,Star,M,3616.0,470812384.0,7.713486,0.53125,M,Va
Dryau Briae WD-N c21-922,Dryau Briae WD-N c21-922 A,Star,M,3321.0,384702656.0,8.521866,0.457031,M,Va
Dryau Briae WD-N c21-922,Dryau Briae WD-N c21-922 B,Star,M,2370.0,299208448.0,10.533325,0.246094,M,Va
Dryau Briae OP-F d11-3817,Dryau Briae OP-F d11-3817 A,Star,K,4847.0,570675904.0,6.022934,0.792969,K,Va
Dryau Briae OP-F d11-3817,Dryau Briae OP-F d11-3817 B,Star,M,2859.0,317228448.0,9.591431,0.292969,M,Va
Dryau Briae IW-H c24-2779,Dryau Briae IW-H c24-2779 A,Star,G,5261.0,689472064.0,5.256165,0.875,G,Va
Dryau Briae IW-H c24-2779,Dryau Briae IW-H c24-2779 B,Star,K,4213.0,530794144.0,6.78923,0.683594,K,Va
Dryau Briae SD-E c26-191,Dryau Briae SD-E c26-191 A,Star,K,4182.0,528841440.0,6.8293,0.703125,K,Va
Dryau Briae SD-E c26-191,Dryau Briae SD-E c26-191 B,Star,M,2906.0,334272128.0,9.406937,0.296875,M,Va
Dryau Briae FM-Z b56-49,Dryau Briae FM-Z b56-49,Star,M,2495.0,336585632.0,10.054352,0.289063,M,Va
Lasoae MI-B c552,Lasoae MI-B c552,Star,K,3758.0,543826304.0,7.233017,0.589844,K,Va
Lasoae VU-X c1-1688,Lasoae VU-X c1-1688,Star,M,3591.0,472107136.0,7.73764,0.535156,M,Va
Lasoae CB-X d1-8314,Lasoae CB-X d1-8314,Star,F,7259.0,932264512.0,3.202438,1.394531,F,Vb
Lasoae CB-X d1-2339,Lasoae CB-X d1-2339 A,Star,G,5616.0,662834752.0,5.05806,0.988281,G,Vab
Lasoae CB-X d1-2339,Lasoae CB-X d1-2339 C,Star,M,2198.0,296279392.0,10.881973,0.25,M,Va
Lasoae CB-X d1-2339,Lasoae CB-X d1-2339 B,Star,M,2767.0,319924032.0,9.715134,0.289063,M,Va
Lasoae QU-O c6-1860,Lasoae QU-O c6-1860,Star,G,5324.0,635221056.0,5.382462,0.886719,G,Vab
Lasoae YG-L c8-796,Lasoae YG-L c8-796 A,Star,G,5282.0,564881472.0,5.671753,0.828125,G,Vab
Lasoae YG-L c8-796,Lasoae YG-L c8-796 B,Star,M,3146.0,453131968.0,8.401459,0.433594,M,Va
Lasoae YG-L c8-796,Lasoae YG-L c8-796 C,Star,M,2902.0,358256352.0,9.262405,0.320313,M,Va
Lasoae JO-H c10-2803,Lasoae JO-H c10-2803,Star,M,3397.0,459287200.0,8.038696,0.503906,M,Va
Lasoae RA-E c12-921,Lasoae RA-E c12-921 A,Star,K,3882.0,436024672.0,7.571854,0.539063,K,Va
Lasoae RA-E c12-921,Lasoae RA-E c12-921 D,Star,M,3639.0,422865152.0,7.919205,0.484375,M,Va
Lasoae RA-E c12-921,Lasoae RA-E c12-921 C,Star,L,1871.0,236064144.0,12.075195,0.167969,L,V
Lasoae RA-E c12-921,Lasoae RA-E c12-921 B,Star,M,3353.0,463447328.0,8.07576,0.492188,M,Va
Lasoae RA-E c12-921,Lasoae RA-E c12-921 E,Star,M,2200.0,291397664.0,10.914108,0.25,M,Va
Lasoae RA-E c12-180,Lasoae RA-E c12-180,Star,K,4219.0,493289600.0,6.942215,0.636719,K,Va
Lasoae YA-O d6-3831,Lasoae YA-O d6-3831 A,Star,F,6241.0,858168128.0,4.038681,1.214844,F,Vab
Lasoae IU-W c15-1385,Lasoae IU-W c15-1385 A,Star,K,3755.0,451264192.0,7.641739,0.578125,K,Va
Lasoae QG-T c17-963,Lasoae QG-T c17-963,Star,K,4121.0,496430912.0,7.030502,0.558594,K,Va
Lasoae AO-P c19-559,Lasoae AO-P c19-559 A,Star,K,3984.0,478983968.0,7.255112,0.621094,K,Va
